（一東）粗成四字,（一東）誨爾童蒙
（十一真）令嚴孫武,（十一真）法變張巡
（十一真）更衣範冉,（十一真）廣被孟仁
（十一真）筆床茶灶,（十一真）羽扇綸巾
（十一真）灌夫使酒,（十一真）劉四罵人
（十一真）以牛易馬,（十一真）改氏為民
（十一真）壙先表聖,（十一真）燈候沈彬
（十二文）謝敷處士,（十二文）宋景賢君
（十二文）景宗險韻,（十二文）劉輝奇文
（十二文）袁安臥雪,（十二文）仁傑望雲
（十二文）貌疏宰相,（十二文）腹負將軍
（十二文）梁亭竊灌,（十二文）曾圃誤耘
（十二文）張巡軍令,（十二文）陳琳檄文
（十二文）羊殖益上,（十二文）寧越彌勤
（十二文）蔡邕倒屣,（十二文）衛瓘披雲
（十二文）巨山龜息,（十二文）遵彥龍文
（十三元）傲倪昭諫,（十三元）茂異簡言
（十三元）金書夢玨,（十三元）紗護卜藩
（十三元）童恢捕虎,（十三元）古冶持黿
（十三元）何奇韓信,（十三元）香化陳元
（十三元）徐幹中論,（十三元）揚雄法言
（十三元）力稱烏獲,（十三元）勇尚孟賁
（十三元）八龍荀氏,（十三元）五豸唐門
（十三元）張瞻炊臼,（十三元）庄周鼓盆
（十三元）疏脫士簡,（十三元）博奧文元
（十三元）敏修未娶,（十三元）陳嶠初婚
（十三元）長公思過,（十三元）定國平冤
（十三元）陳遵投轄,（十三元）魏勃掃門
（十三元）孫璉織屨,（十三元）阮鹹曝褌
（十三元）晦堂無隱,（十三元）溈山不言
（十四寒）庄生蝴蝶,（十四寒）呂祖邯鄲
（十四寒）謝安折屐,（十四寒）貢禹彈冠
（十四寒）顗容王導,（十四寒）浚殺曲端
（十四寒）休那題碣,（十四寒）叔邵憑棺
（十四寒）如龍諸葛,（十四寒）似鬼曹瞞
（十四寒）爽欣御李,（十四寒）白願識韓
（十四寒）黔婁布被,（十四寒）優孟衣冠
（十四寒）長歌寧戚,（十四寒）鼾睡陳摶
（十四寒）曾參務益,（十四寒）龐德遺安
（十四寒）穆親杵臼,（十四寒）商化芝蘭
（十四寒）葛洪負笈,（十四寒）高鳳持竿
（十四寒）釋之結襪,（十四寒）子夏更冠
（十四寒）直言唐介,（十四寒）雅量劉寬
（十四寒）捋須何典,（十四寒）捉鼻謝安
（十四寒）張華龍鮓,（十四寒）閔貢豬肝
（十四寒）淵材五恨,（十四寒）郭奕三嘆
（十四寒）弘景作相,（十四寒）延祖棄官
（十四寒）二疏供帳,（十四寒）四皓衣冠
（十四寒）曼卿豪飲,（十四寒）廉頗雄餐
（十四寒）長康三絕,（十四寒）元方二難
（十四寒）曾辭溫飽,（十四寒）城忍飢寒
（十四寒）買臣懷綬,（十四寒）逄萌掛冠
（十四寒）循良伏湛,（十四寒）儒雅兒寬
（十四寒）歐母畫荻,（十四寒）柳母和丸
（十四寒）韓屏題葉,（十四寒）燕姞夢蘭
（十四寒）漂母進食,（十四寒）浣婦分餐
（十五刪）令威華表,（十五刪）杜宇西山
（十五刪）範增舉玦,（十五刪）羊祜探環
（十五刪）沈昭狂瘦,（十五刪）馮道痴頑
（十五刪）陳蕃下榻,（十五刪）郅惲拒關
（十五刪）雪夜擒蔡,（十五刪）燈夕平蠻
（十五刪）郭家金穴,（十五刪）鄧氏銅山
（十五刪）比幹受策,（十五刪）楊寶掌環
（十五刪）晏嬰能儉,（十五刪）蘇軾為慳
（十五刪）堂開洛水,（十五刪）社結香山
（十五刪）臘花齊放,（十五刪）春桂同攀
（下卷一 先）飛鳧葉令,（下卷一 先）駕鶴緱仙
（下卷一 先）劉晨採葯,（下卷一 先）茂叔觀蓮
（下卷一 先）陽公麾日,（下卷一 先）武乙射天
（下卷一 先）唐宗三鑒,（下卷一 先）劉寵一錢
（下卷一 先）叔武守國,（下卷一 先）李牧備邊
（下卷一 先）少翁致鬼,（下卷一 先）欒大求仙
（下卷一 先）彧臣曹操,（下卷一 先）猛相苻堅
（下卷一 先）漢家三傑,（下卷一 先）晉室七賢
（下卷一 先）居易識字,（下卷一 先）童烏預玄
（下卷一 先）黃琬對日,（下卷一 先）秦宓論天
（下卷一 先）元龍湖海,（下卷一 先）司馬山川
（下卷一 先）操誅呂布,（下卷一 先）臏殺龐涓
（下卷一 先）羽救巨鹿,（下卷一 先）準策澶淵
（下卷一 先）應融丸葯,（下卷一 先）閻敞還錢
（下卷一 先）範居讓誰,（下卷一 先）吳飲貪泉
（下卷一 先）薛逢羸馬,（下卷一 先）劉勝寒蟬
（下卷一 先）捉刀曹操,（下卷一 先）拂矢賈堅
（下卷一 先）晦肯負國,（下卷一 先）質願親賢
（下卷一 先）羅友逢鬼,（下卷一 先）潘谷稱仙
（下卷一 先）茂弘綀服,（下卷一 先）子敬青氈
（下卷一 先）王奇雁字,（下卷一 先）韓浦鸞箋
（下卷一 先）安之畫地,（下卷一 先）德裕籌邊
（下卷一 先）平原十日,（下卷一 先）蘇章二天
（下卷一 先）徐勉風月,（下卷一 先）棄疾雲煙
（下卷一 先）舜欽鬥酒,（下卷一 先）法主蒲韉
（下卷一 先）繞朝贈策,（下卷一 先）苻鹵投鞭
（下卷一 先）豫讓吞炭,（下卷一 先）蘇武餐氈
（下卷一 先）金台招士,（下卷一 先）玉署貯賢
（下卷一 先）宋臣宗澤,（下卷一 先）漢使張騫
（下卷一 先）胡姬人種,（下卷一 先）名妓書仙
（下卷二 蕭）藤王蛺蝶,（下卷二 蕭）摩詰芭蕉
（下卷二 蕭）卻衣師道,（下卷二 蕭）投筆班超
（下卷二 蕭）馮官五代,（下卷二 蕭）季相三朝
（下卷二 蕭）劉蕡下第,（下卷二 蕭）盧肇奪標
（下卷二 蕭）陵甘降虜,（下卷二 蕭）蠋恥臣昭
（下卷二 蕭）隆貧曬腹,（下卷二 蕭）潛懶折腰
（下卷二 蕭）韋綬蜀錦,（下卷二 蕭）元載鮫綃
（下卷二 蕭）捧檄毛義,（下卷二 蕭）絕裾溫嶠
（下卷二 蕭）鄭虔貯柿,（下卷二 蕭）懷素種蕉
（下卷二 蕭）延祖鶴立,（下卷二 蕭）茂弘龍超
（下卷二 蕭）懸魚羊續,（下卷二 蕭）留犢時苗
（下卷二 蕭）貴妃捧硯,（下卷二 蕭）弄玉吹簫
（下卷三 餚）欒巴救火,（下卷三 餚）許遜除蛟
（下卷三 餚）詩窮五際,（下卷三 餚）易布三爻
（下卷三 餚）清時安石,（下卷三 餚）奇計居鄛
（下卷三 餚）湖循鶯脰,（下卷三 餚）泉訪虎跑
（下卷三 餚）近遊束皙,（下卷三 餚）詭術屍佼
（下卷三 餚）翱狂晞發,（下卷三 餚）嵇懶轉跑
（下卷三 餚）西溪晏詠,（下卷三 餚）北隴孔嘲
（下卷三 餚）民皆字鄭,（下卷三 餚）羌願姓包
（下卷三 餚）騎鵬沈晦,（下卷三 餚）射鴨孟郊
（下卷三 餚）戴顒鼓吹,（下卷三 餚）賈島推敲
（下卷四 豪）禹承虞舜,（下卷四 豪）說相殷高
（下卷四 豪）韓侯敝褲,（下卷四 豪）張祿綈袍
（下卷四 豪）相如題柱,（下卷四 豪）韓愈焚膏
（下卷四 豪）捐生紀信,（下卷四 豪）爭死孔褒
（下卷四 豪）孔璋文伯,（下卷四 豪）夢得詩豪
（下卷四 豪）馬援矍鑠,（下卷四 豪）巢父清高
（下卷四 豪）伯倫雞肋,（下卷四 豪）超宗鳳毛
（下卷四 豪）服虔賃作,（下卷四 豪）車胤重勞
（下卷四 豪）張儀折竹,（下卷四 豪）人末燃蒿
（下卷四 豪）賀循冰玉,（下卷四 豪）公瑾醇醪
（下卷四 豪）龐公休暢,（下卷四 豪）劉子高操
（下卷四 豪）季札掛劍,（下卷四 豪）呂虔贈刀
（下卷四 豪）來護卓犖,（下卷四 豪）梁竦矜高
（下卷四 豪）壯心處仲,（下卷四 豪）操行陳陶
（下卷四 豪）字荊爽邁,（下卷四 豪）孝伯清操
（下卷四 豪）李訂六逸,（下卷四 豪）石與三豪
（下卷四 豪）鄭弘還箭,（下卷四 豪）元興成刀
（下卷四 豪）劉殷七業,（下卷四 豪）何點三高
（下卷五 歌）二使入蜀,（下卷五 歌）五老遊河
（下卷五 歌）孫登坐嘯,（下卷五 歌）譚峭行歌
（下卷五 歌）漢王封齒,（下卷五 歌）齊主烹阿
（下卷五 歌）丁蘭刻木,（下卷五 歌）王質爛柯
（下卷五 歌）霍光忠厚,（下卷五 歌）黃霸寬和
（下卷五 歌）桓譚非讖,（下卷五 歌）王商止訛
（下卷五 歌）隱翁龔勝,（下卷五 歌）刺客荊軻
（下卷五 歌）老人結草,（下卷五 歌）餓夫倒戈
（下卷五 歌）奕宛李訥,（下卷五 歌）碑賺孫何
（下卷五 歌）子猷嘯詠,（下卷五 歌）斯立吟喔
（下卷五 歌）奕世貂珥,（下卷五 歌）閭裏鳴珂
（下卷五 歌）曇輟絲竹,（下卷五 歌）裒廢蓼莪
（下卷五 歌）箕陳五福,（下卷五 歌）華祝三多
（下卷六 麻）萬石齊氏,（下卷六 麻）三戟崔家
（下卷六 麻）退之驅鱷,（下卷六 麻）叔敖埋蛇
（下卷六 麻）虞詡易服,（下卷六 麻）道濟量沙
（下卷六 麻）伋辭饋肉,（下卷六 麻）瓊卻餉瓜
（下卷六 麻）祭遵俎豆,（下卷六 麻）柴紹琵琶
（下卷六 麻）法常評酒,（下卷六 麻）鴻漸論茶
（下卷六 麻）陶怡松菊,（下卷六 麻）田樂煙霞
（下卷六 麻）孟鄴九穗,（下卷六 麻）鄭玨一麻
（下卷六 麻）顏回練馬,（下卷六 麻）樂廣杯蛇
（下卷六 麻）羅珦持節,（下卷六 麻）王播籠紗
（下卷六 麻）能言李泌,（下卷六 麻）敢諫香車
（下卷六 麻）韓愈闢佛,（下卷六 麻）傅奕除邪
（下卷六 麻）春藏足垢,（下卷六 麻）邕嗜瘡痂
（下卷六 麻）薛箋成彩,（下卷六 麻）江筆生花
（下卷六 麻）班昭漢史,（下卷六 麻）蔡琰胡笳
（下卷六 麻）鳳凰律呂,（下卷六 麻）鸚鵡琵琶
（下卷六 麻）渡傳桃葉,（下卷六 麻）村名杏花
（下卷七 陽）君起盤古,（下卷七 陽）人使亞當
（下卷七 陽）明皇化萼,（下卷七 陽）靈運池塘
（下卷七 陽）神威翼德,（下卷七 陽）義勇雲長
（下卷七 陽）羿雄射日,（下卷七 陽）衍憤飛霜
（下卷七 陽）王祥求鯉,（下卷七 陽）叔向埋羊
（下卷七 陽）亮方管樂,（下卷七 陽）勒比高光
（下卷七 陽）世南書監,（下卷七 陽）晁錯智囊
（下卷七 陽）昌囚羑裏,（下卷七 陽）收遁首陽
（下卷七 陽）軾攻正叔,（下卷七 陽）浚沮李綱
（下卷七 陽）降金劉豫,（下卷七 陽）順虜邦昌
（下卷七 陽）瑜燒赤壁,（下卷七 陽）軾謫黃岡
（下卷七 陽）馬融絳帳,（下卷七 陽）李賀錦囊
（下卷七 陽）曇遷營葬,（下卷七 陽）脂習臨喪
（下卷七 陽）仁裕詩窖,（下卷七 陽）劉式墨庄
（下卷七 陽）劉琨嘯月,（下卷七 陽）伯奇履霜
（下卷七 陽）塞翁失馬,（下卷七 陽）臧谷亡羊
（下卷七 陽）寇公枯竹,（下卷七 陽）召伯甘棠
（下卷七 陽）匡衡鑿壁,（下卷七 陽）孫敬懸梁
（下卷七 陽）衣蘆閔損,（下卷七 陽）扇枕黃香
（下卷七 陽）嬰扶趙武,（下卷七 陽）籍殺懷王
（下卷七 陽）魏征嫵媚,（下卷七 陽）阮籍猖狂
（下卷七 陽）雕龍劉勰,（下卷七 陽）愍驥應瑒
（下卷七 陽）御車泰豆,（下卷七 陽）習射紀昌
（下卷七 陽）異人彥博,（下卷七 陽）男子天祥
（下卷七 陽）忠貞古弼,（下卷七 陽）奇節任棠
（下卷七 陽）何晏談易,（下卷七 陽）郭象註庄
（下卷七 陽）臥遊宗子,（下卷七 陽）坐隱王郎
（下卷七 陽）盜酒畢卓,（下卷七 陽）割肉東方
（下卷七 陽）李膺破柱,（下卷七 陽）衛瓘撫床
（下卷七 陽）營軍細柳,（下卷七 陽）校獵長楊
（下卷七 陽）忠武具奠,（下卷七 陽）德玉居喪
（下卷七 陽）敖曹雄異,（下卷七 陽）元發疏狂
（下卷七 陽）寇卻列簿,（下卷七 陽）呂置夾囊
（下卷七 陽）彥升白簡,（下卷七 陽）元魯青箱
（下卷七 陽）孔融了了,（下卷七 陽）黃憲汪汪
（下卷七 陽）僧岩不測,（下卷七 陽）趙壹非常
（下卷七 陽）沈思好客,（下卷七 陽）顏駟為郎
（下卷七 陽）申屠松屋,（下卷七 陽）魏野草堂
（下卷七 陽）戴淵西洛,（下卷七 陽）祖逖南塘
（下卷七 陽）傾城妲己,（下卷七 陽）嫁虜王嬙
（下卷七 陽）貴妃桃髻,（下卷七 陽）公主梅妝
（下卷七 陽）吉了思漢,（下卷七 陽）供奉忠唐
（下卷八 庚）蕭收圖籍,（下卷八 庚）孔惜繁纓
（下卷八 庚）卞庄刺虎,（下卷八 庚）李白騎鯨
（下卷八 庚）王戎支骨,（下卷八 庚）李密陳情
（下卷八 庚）相如完璧,（下卷八 庚）廉頗負荊
（下卷八 庚）從龍介子,（下卷八 庚）飛雁蘇卿
（下卷八 庚）忠臣洪皓,（下卷八 庚）義士田橫
（下卷八 庚）李平鱗甲,（下卷八 庚）苟變幹城
（下卷八 庚）景文飲鴆,（下卷八 庚）茅焦伏烹
（下卷八 庚）許丞耳重,（下卷八 庚）丁掾目盲
（下卷八 庚）傭書德潤,（下卷八 庚）賣卜君平
（下卷八 庚）馬當王勃,（下卷八 庚）牛諸袁宏
（下卷八 庚）談天鄒衍,（下卷八 庚）稽古桓榮
（下卷八 庚）岐曾販餅,（下卷八 庚）平得分羹
（下卷八 庚）臥床逸少,（下卷八 庚）升座延明
（下卷八 庚）王勃心織,（下卷八 庚）賈逵舌耕
（下卷八 庚）懸河郭子,（下卷八 庚）緩頰酈生
（下卷八 庚）書成鳳尾,（下卷八 庚）畫點龍睛
（下卷八 庚）功臣圖閣,（下卷八 庚）學士登瀛
（下卷八 庚）盧攜貌醜,（下卷八 庚）衛玠神清
（下卷八 庚）非熊再世,（下卷八 庚）圓澤三生
（下卷八 庚）安期東渡,（下卷八 庚）潘岳西征
（下卷八 庚）志和耽釣,（下卷八 庚）宗儀輟耕
（下卷八 庚）衛鞅行詐,（下卷八 庚）羊祜推誠
（下卷八 庚）林宗傾粥,（下卷八 庚）文季爭羹
（下卷八 庚）茂貞苛稅,（下卷八 庚）陽城緩征
（下卷八 庚）北山學士,（下卷八 庚）南郭先生
（下卷八 庚）文人鵬舉,（下卷八 庚）名士道衡
（下卷八 庚）灌園陳定,（下卷八 庚）為圃蘇卿
（下卷八 庚）融賦滄海,（下卷八 庚）祖詠彭城
（下卷八 庚）溫公萬卷,（下卷八 庚）沈約四聲
（下卷八 庚）許詢勝具,（下卷八 庚）謝客遊情
（下卷八 庚）不齊宰單,（下卷八 庚）子推相荊
（下卷八 庚）仲淹復姓,（下卷八 庚）潘閬藏名
（下卷八 庚）烹茶秀實,（下卷八 庚）漉酒淵明
（下卷八 庚）善釀白墮,（下卷八 庚）縱飲公榮
（下卷八 庚）儀狄造酒,（下卷八 庚）德裕調羹
（下卷八 庚）印屏王氏,（下卷八 庚）前席賈生
（下卷九 青）經傳御史,（下卷九 青）偈贈提刑
（下卷九 青）士安正字,（下卷九 青）次仲談經
（下卷九 青）鹹遵祖臘,（下卷九 青）寬識天星
（下卷九 青）景煥垂戒,（下卷九 青）班固勒銘
（下卷九 青）能詩杜甫,（下卷九 青）嗜酒劉伶
（下卷九 青）張綽剪蝶,（下卷九 青）車胤囊螢
（下卷九 青）鴝鵒學語,（下卷九 青）鸚鵡誦經
（下卷十 蒸）公遠玩月,（下卷十 蒸）法喜觀燈
（下卷十 蒸）燕投張說,（下卷十 蒸）鳳集徐陵
（下卷十 蒸）獻之書練,（下卷十 蒸）夏竦題綾
（下卷十 蒸）安石執拗,（下卷十 蒸）味道模棱
（下卷十 蒸）韓仇良復,（下卷十 蒸）漢紀備存
（下卷十 蒸）存魯端木,（下卷十 蒸）救趙信陵
（下卷十 蒸）邵雍識亂,（下卷十 蒸）陵母知興
（下卷十一 尤）琴高赤鯉,（下卷十一 尤）李耳青牛
（下卷十一 尤）明皇羯鼓,（下卷十一 尤）煬帝龍舟
（下卷十一 尤）羲叔正夏,（下卷十一 尤）宋玉悲秋
（下卷十一 尤）才壓元白,（下卷十一 尤）氣吞曹劉
（下卷十一 尤）信擒夢澤,（下卷十一 尤）翻徙交州
（下卷十一 尤）曹參輔漢,（下卷十一 尤）周勃安劉
（下卷十一 尤）太初日月,（下卷十一 尤）季野春秋
（下卷十一 尤）公超成市,（下卷十一 尤）長孺為樓
（下卷十一 尤）楚邱始壯,（下卷十一 尤）田豫乞休
（下卷十一 尤）向長損益,（下卷十一 尤）韓愈鬥牛
（下卷十一 尤）璡除釀部,（下卷十一 尤）玄拜隱侯
（下卷十一 尤）公孫東閣,（下卷十一 尤）龐統南州
（下卷十一 尤）袁耽擲帽,（下卷十一 尤）仁傑攜裘
（下卷十一 尤）子將月旦,（下卷十一 尤）安國陽秋
（下卷十一 尤）德輿西掖,（下卷十一 尤）庾亮南樓
（下卷十一 尤）梁吟傀儡,（下卷十一 尤）庄夢髑髏
（下卷十一 尤）孟稱清發,（下卷十一 尤）殷號風流
（下卷十一 尤）見譏子敬,（下卷十一 尤）犯忌楊修
（下卷十一 尤）荀息累卵,（下卷十一 尤）王基載舟
（下卷十一 尤）沙鷗可狎,（下卷十一 尤）蕉鹿難求
（下卷十一 尤）黃聯池上,（下卷十一 尤）楊詠樓頭
（下卷十一 尤）曹兵迅速,（下卷十一 尤）李使遲留
（下卷十一 尤）孔明流馬,（下卷十一 尤）田單火牛
（下卷十一 尤）五侯奇膳,（下卷十一 尤）九婢珍饈
（下卷十一 尤）光安耕釣,（下卷十一 尤）方慕巢由
（下卷十一 尤）適嵇命駕,（下卷十一 尤）訪戴操舟
（下卷十一 尤）篆推史籀,（下卷十一 尤）隸善鍾繇
（下卷十一 尤）邵瓜五色,（下卷十一 尤）李桔千頭
（下卷十一 尤）芳留玉帶,（下卷十一 尤）琳卜金甌
（下卷十一 尤）孫陽識馬,（下卷十一 尤）丙吉問牛
（下卷十一 尤）蓋忘蘇隙,（下卷十一 尤）聶報嚴仇
