Asahikawa Medical College Branch,www.ed.asahikawa-med.ac.jp/club/aiki/top/top.htm,Asia,Japan,Hokkaido,Tokimune,Hoshikawa Yoshito,"3-11-2 Minami, Nishi Nijunijo, Obihiro, Hokkaido, Japan.",,0155-34-2888,
"Baltimore (Essex) Daito-ryu Aikijujutsu Hawk Cove Study Group, USA",http://daito-ryu-hawk-cove.webstarts.com/,North America,United States,Maryland,Tokimune,Chris Covington and Brian Wagner,"C/O Baltimore Brazilian Jiujitsu 412 Eastern Blvd. Baltimore, MD 21221, USA",,410-830-1040,DRHawkCove@gmail.com
Beppu Hokubu Kominkan,,Asia,Japan,Oita,,Kei Goto,"6-54 Shoningahamacho, Beppu, Oita Prefecture 874-0023, Japan",,81 977-67-8300,
"Berlin Daito-ryu Aikijujutsu Study Group, Germany",,Europe,Germany,,Tokimune,Raoul Rossbach,Scharnweberstr.14 10247 Berlin,,,ookami@daito-ryu.de
"Bratislava Daito-ryu Aikijujutsu Study Group, Slovakia",daito-ryu.sk,Europe,Slovakia,,Tokimune,Stefan Kurilla,"Vranovská 4, 851 02 Bratislava, Slovakia",,421 905 31 31 31,
Brisbane Dokokai,http://aikiaustralia.com.au/,Oceania,Australia,,Takumakai,Craig Boyd,,,428740960,
Bunkyo Dojo,http://aiki.jp/nagao/tokyo/t-dojo.html,Asia,Japan,Tokyo,Yamamoto Kakuyoshi ha,Ishikawa Tomohiro,"3-29-2 Otsuka, Bunkyō ku, Tokyo 112-0012, Japan Bunkyo Sports Center judo ground",,81 3-3944-2271,
Bushidokai Traditional Martial Arts,http://www.oldpinetree.com/bushidokai/Daito-Ryu-Aikijujutsu.html,North America,United States,Conneticut,Kodokai,,,,,
Capital District Martial Arts Center,https://www.facebook.com/pg/Capital-District-Martial-Arts-Center-127786467267774/about/?ref=page_internal,North America,United States,New York,Kodokai,Tony DiSarro.,"3 Normanskill Blvd, Delmar, NY 12054",,(518) 330-3656,
"Carpi Daito-ryu Aikijujutsu Branch, Italy",,Europe,Italy,,Tokimune,Alex Muracchini,"Via Ramazzini, 1/b - Carpi (MO) - Italy",,39 059 688998,aikinoalex@yahoo.it
Compal Hall Judo Dojo,http://www.compalhall.jp/sisetu/taiikukan/,Asia,Japan,Oita,,Kei Goto,"1 Chome-5-38 Funaimachi, Oita, Oita Prefecture 870-0021, Japan",,097-538-3700,
Daibukan,http://www.daibukan.com/,Asia,Japan,Hyogo,Takumakai,,"11-20 Takagihigashi-cho, Nishinomiya-shi, Hyogo-ken",,0798-65-1217,
"Daito Do Dojo San Benedetto del Tronto City, Shiseikan europe association",http://www.shiseikan.it/dojo_san_benedetto_del_tronto.html,Europe,Italy,,Tokimune,Roberto Bucci,"Divino Amore sports center, in Piazza Redentore 7 in Porto D'Ascoli (AP)",,3471470371,info@shiseikan.it
Daito Ryu Aiki Jujutsu DC/MD/VA Study Group,https://daitoryuaikijujutsu.net/daitoryudc,North America,United States,Washington DC,,John Sorensen and Marc Zifcak,,,,
Daito Ryu Muden Juku,http://oisinbourke.wixsite.com/daitoryu,Europe,Ireland,,Kodokai,Okugi Sandan,"Kilkenny, Thomastown Scouts hall.",,085 720 9049,oisinobrienbourke@gmail.com
Daito Ryu skola bojovych umeni (Daitoryuaikijujutsu?),,Europe,Czech Republic,,?,,"Ideon Pardubice - Jiráskova 29, Pardubice 53002",,420 775 110 776,daitoryupardubice@seznam.cz
"Daito-ryu Aiki-jujutsu of Morris County | Dover, NJ",https://www.instagram.com/explore/locations/136959180317151/daito-ryu-aiki-jujutsu-of-morris-county/,North America,United States,New Jersey,,Kevin Cumberton,16 W. Blackwell Street (3rd floor) 2 Blocks from NJ Transit Dover Train Station.,"2- Bocks from NJ Transit - Dover Train Station, NJ Transit Bus line drops off at the front door.",(973) 557-3846,DaitoryuofMorrisCounty@gmail.com
"Daito-ryu Aiki-jujutsu of Union County | Fanwood, NJ",https://www.facebook.com/DaitoryuUnionCounty/,North America,United States,New Jersey,,Ismael Franco,"162 Forest Road, Fanwood, New Jersey",,,info@daitoryu.org
"Daito-ryu Aiki-jujutsu Tora Dojo | Rochelle Park, NJ",http://www.toradojo.itgo.com/tora_dojo/home.html,North America,United States,New Jersey,,Ismael Franco,"5 West Passaic Street, Rochelle Park, New Jersey",,,info@daitoryu.org
Daito-ryu Aikijujutsu Garyuzen dojo,http://www.garyu-zen.sakura.ne.jp/index.html,Asia,Japan,Miyagi,Kodokai,"
Nakajō Shindō",〒981-0305　宮城県東松島市上下堤字富沢29,,0225-87-2475,sin-c528@s2.webjapan.ne.jp
Daito-ryu Aikijujutsu Garyuzen dojo Fukui branch,http://www.garyu-zen.sakura.ne.jp/fukui.html,Asia,Japan,Fukui,Kodokai,"
Kitade",〒910-0039 福井市三ツ屋町8-1-1,,,b-alice@kore.mitene.or.jp
Daito-ryu Aikijujutsu Headquarters - Shimbukan Dojo,,Asia,Japan,Tokyo,Tokimune,Kondo Katsuyuki,"3F, 2-10-15 Higashi Yotsugi, Tokyo, 124-0014, Japan.",,03-3694-4500 03-3694-7492 ,
"Daito-ryu Aikijujutsu of Los Angeles, USA",,North America,United States,California,Tokimune,Mark Sumi,,,310-200-6407,
"Daito-ryu Aikijujutsu of Philadelphia, USA",www.budophiladelphia.org,North America,United States,Pennsylvania,Tokimune,Derek Steel,"c/o Aikikai of Philadelphia, 2100 Chestnut St., Philadelphia, PA 19103, USA.",,215-563-8108,dsteel@shutokukan.org
"Daito-ryu Aikijujutsu of Richmond, USA",,North America,United States,Virginia,Tokimune,Scott Vogeley,"c/o Aikido in the Fan, 2310 1/2 West Main Street, Richmond, VA 23220, USA.",,804-340-0116,
"Daito-ryu Aikijujutsu Study Group, Bury St Edmunds, United Kingdom",http://www.daito-ryu-aikijujutsu.co.uk/,Europe,United Kingdom,,Tokimune,Oran Redmond,"Norton Village Hall, Ixworth Road, Norton, Bury St Edmunds, Suffolk IP31 3LP",,44 7507661209,DaitoRyuNorton@gmail.com
"Daito-ryu Aikijujutsu Study Group, Lausanne, Switzerland",,Europe,Switzerland,,Tokimune,Pascal Badan,"Centre de la Police Cantonale, Route de la Blécherette 101, 1052 le-Mont-sur-Lausanne",,41 79 737 12 46,pbadan@bluewin.ch
"Daito-ryu Aikijujutsu Study Group, Malta",,Europe,Malta,,Tokimune,Jason Debono,"Eagle Nest Rabat Road Nadur, NDR102 Gozo, Malta",,356 7920 4572,jason_debono@yahoo.co.uk
"Daito-ryu Aikijujutsu Study Group, Serbia",,Europe,Serbia,,Tokimune,Dusan Miloradovic,"Save Kovacevica 5, Kragujevac 34000, Serbia",,381 65 311 5120,daitoryu.serbia@gmail.com
Daito-ryu Aikijujutsu Tokyo Keikokai,http://daitouryu.blog.fc2.com/,Asia,Japan,Tokyo,,,"2 Chome-1-3 Yumenoshima, Kōtō-ku, Tōkyō-to 136-0081",,,
"Daito-ryu Aikijujutsu, Italy",www.daitoryu.it,Europe,Italy,,Tokimune,Giuseppe Lisco,,,39 329 211 5053,aikidocarpi@alice.it
Daito-ryu Muden Juku NJ,http://www.daito-ryu-nj.com/home.html,North America,United States,New Jersey,Kodokai,,"196 Main Street, Butler, NJ 07405",,1-201-741-6901,info@daito-ryu-nj.com
Daitokan dojo,http://www.daitokan.it/,Europe,Italy,,Tokimune,PAOLO CAMPAGNARI,"Centro del Benessere, via Giovanni Pacini, 46 - 20131 Milano (zona Lambrate, Città Studi)",,340 715 9202,paolo.campagnari@virgilio.it
Daitoryu Aikijujitsu Ginjukai (South Florida Branch),,North America,United States,Florida,Kodokai,,"7352 West Atlanta Blvd, Margate, FL 33063",,,johhnyschu74@gmail.com
Daitoryu Aikijujutsu Buyoukan Hombu,http://www.geocities.jp/okayim583/aiki.html,Asia,Japan,Hokkaido,Kodokai,,室蘭市白鳥台２丁目３５番地１６号,,"
0143-59-5438",sjrpn984@yahoo.co.jp
Daitoryu Aikijujutsu Kensanjuku,http://www.geocities.co.jp/Athlete-Crete/5008/,Asia,Japan,Osaka,Roppokai,"
Iwamoto Masaki",〒537-0023 大阪府大阪市東成区玉津2丁目1-27,,070-5435-6189,nttt373@yahoo.co.jp
Daitoryu Aikijujutsu Ogawa Dojo,http://www.geocities.jp/ogawa_dojo/#schedule,Asia,Japan,Tokyo,Kodokai,Ogawa tadao,東京都文京区本郷7-1-2/ 東京都文京区小日向一丁目7-4/ 東京都中央区日本橋兜町11番9号/ 	東京都/ 中央区新川1-26-1/ 東京都新宿区大久保3-5-1,,,daitoryu.ogawadojo@gmail.com
Daitoryu Aikijujutsu Yamamoto Kakuyoshi ha Fujishintoujujinkai,http://yamamotoden.wixsite.com/fujijushinkai   https://dojos.org/archives/839,Asia,Japan,Shizuoka,Yamamoto Kakuyoshi ha,長尾全祐 先生,〒416-0906 静岡県富士市本市場280 富士市立富士体育館付属柔剣道場,JR富士駅から徒歩10分,,
"Daitoryuaikijujutsu Kiyonogo Bunkado
",http://www.geocities.co.jp/Athlete-Samos/6611/,Asia,Japan,Osaka,Takumakai,,"1-1 Ōgimachi, Daitō-shi, Ōsaka-fu 574-0033, Japan",,,seinosato@hotmail.com
Dojo Acquaviva,http://www.shiseikan.it/dojo_acquaviva.html,Europe,Italy,,Tokimune,Roberto Bucci,,,339-4413964,info@shiseikan.it
Dojo Giulianova,http://www.shiseikan.it/dojo_giulianova.html,Europe,Italy,,Tokimune,Yuri Ricci,"presso Polisportiva Amicacci (ingresso sul retro) Via Galileo Galilei 377, Giulianova(Te)",,3272043720,rucci.yuri86@gmail.com
Dojo in Moscow,https://daito-ryu.info/,Europe,Russia,,Tokimune,Bodrenko Evgeny Alexandrovich ,"Moscow , m. Savelovskaya, from / to ""Megapolis"", st. Vyatskaya, 27, building 12",, +7-926-549-42-29 ,bodrenkoea@gmail.com 
Dojo Taranto,http://www.shiseikan.it/dojo_taranto.html,Europe,Italy,,Tokimune,,,,3471470371,carlocap63@yahoo.it
Dojo/study group,Website,Continent,Country,,Branch,Branch head / contact person,Address,Access,Phone,Email
East Kasuga dojo,,Asia,Japan,Fukuoka,Kodokai,,"春日東中学校 武道場, 春日市若葉台東１丁目４１",,,
Fudoshin dojo,http://fudoshin-dojo.ru/,Europe,Russia,,Tokimune,Kormishin Sergey Nikolaevich,"ul. Working, d15, office number 403, Samara, Russia",,7 (917) 130-31-50,s_korm@mail.ru
Fukuoka dojo,,Asia,Japan,Fukuoka,Kodokai,,"福岡武道館 柔道場, 福岡市中央区大濠1丁目1番1号",,,
Fulton Park Community Center,https://www.portlandoregon.gov/parks/64917,North America,United States,Oregon,Tokimune,Thomas Groendal,"68 SW Miles St, Portland, OR 97219, United States",,503-823-7529,Director.Abbate@portlandoregon.gov
Funabashi Branch,daitoryu.ikaduchi.com/english.html,Asia,Japan,Chiba,Tokimune,Kondo Masayuki,"KMC building, 4-24-11 Nishifuna, Funabashi, Chiba-ken, Japan.",,090-3318-8793,
"Ginjukai in Bellevue, Washington",http://www.ginjukai.com/index.html,North America,United States,Washington,Roppokai,Tro Rex Ota,,,,tro.ota@aikieast.com
"Ginjukai in Boca Raton, Florida",http://www.ginjukai.com/index.html,North America,United States,Florida,Roppokai,Johnny Schu and Randall Smith,,,,johhnyschu74@gmail.com aikidopbc@gmail.com
"Ginjukai in Buffalo, New York",http://www.ginjukai.com/index.html,North America,United States,New York,Roppokai,Brad Mosiman,,,,bradmosiman@aol.com
"Ginjukai in Church Hill, Maryland",http://www.ginjukai.com/index.html,North America,United States,Maryland,Roppokai,Dean Nitsch,,,,ccvintage@yahoo.com
"Ginjukai in Dover, Kent, U.K.",http://www.ginjukai.com/index.html,Europe,United Kingdom,,Roppokai,Phil Eyers,,,,mail@daitoryu.co.uk
"Ginjukai in Mint Hill, North Carolina",http://www.ginjukai.com/index.html,North America,United States,North Carolina,Roppokai,Tom Cohen,,,,insightwellness@gmail.com
"Ginjukai in Orlando, Florida",http://www.ginjukai.com/index.html,North America,United States,Florida,Roppokai,Dimitri Deglas Sensei,,,,jimi11580@yahoo.com
"Ginjukai in Redmond, Washington",http://www.ginjukai.com/index.html,North America,United States,Washington,Roppokai,Mike Koenig and John Nicol,,,,mikekoenig@live.com john.nicol@outlook.com 
Gold Coast Dojo,http://aikiaustralia.com.au/,Oceania,Australia,,Takumakai,Grant Periott (CPI),"377 Bilambil Rd, Bilambil NSW 2486",,414180449,
"Gorinchem Daito-ryu Aikijujutsu, Holland",www.sportschoolbreedveld.nl,Europe,Netherlands,,Tokimune,Robert Breedveld,"Sportschool Breedveld, Keizerstraat 25-29, 4201XM, Gorinchem, Holland.",,,
Hikari Dojo at Wisdom of the Ages,https://www.facebook.com/DaitoRyuSimsburyCT/,North America,United States,Conneticut,Kodokai,,,,,
"Himki Daito-ryu Aikijujutsu Study Group, Russia",,Europe,Russia,,Tokimune,Stanislav Kopin,"Moscow, Himki, Novopodrezkovo, Zehleznodorojnaja St. 2",,7 (903) 623-59-92,info@agatsukan.ru
Hokkaidou branch of Kitami City,http://www.daitoryu-shiseikan.net/,Asia,Japan,Hokkaido,Tokimune,"Sasaki Masami
","270-2 Koizumi, Kitami-shi, Hokkaidō 090-0001, Japan",,090-5950-4822,
"Honolulu Daito-ryu Aikijujutsu Study Group, USA",http://www.daito-ryu.org/en/locations.html,North America,United States,Hawaii,Tokimune,Roger Lake,"Kapolei Park, Kapolei, Hawaii 96707",,808-927-6804,rog.lake@gmail.com
Ichiyou Gakusha Koubukan dojo,,Asia,Japan,Fukuoka,Kodokai,,福岡県筑紫野市若江５９－１,,,
Ikkokukan,http://daitoryu.client.jp/index.htm,Asia,Japan,Kanagawa,Kodokai,Shiroshi Osaki,神奈川県川崎市中原区新丸子東2丁目925-18,,,
Imubukan Hombu Keiko,https://www.nihonden.jp/index.html,Asia,Japan,Kanagawa,Nihon-den aikijūjutsu-kei,,"Nishi-ku, Yokohama",,,
Imubukan Yokohama classroom,https://www.nihonden.jp/index.html,Asia,Japan,Kanagawa,Nihon-den aikijūjutsu-kei,,"4 Chome-340-1 Sengencho, Nishi Ward, Yokohama, Kanagawa Prefecture 220-0072, Japan",,81 45-312-5990,
Ippukan,http://ikkukan.ehoh.net/,Asia,Japan,Osaka,Kodokai,Toyota Kōji,大阪市旭区中宮3-2-27,,090-4514-5315,webmaster@aquarius.plata.or.jp
Ippukan,,Asia,Japan,Tokyo,Kodokai,Makoto Matsumura,東京都世田谷区玉川3-20-11-205,,,
Isahaya keikokai,https://to-riy.wixsite.com/aiki,Asia,Japan,Nagasaki,Kodokai,"
Izodo Noriyo","諫早市武道館, 長崎県諫早市東小路町2-38",,050-3575-9602,to-riy@hotmail.co.jp
Israel dojo,http://daito-ryu.co.il/,Asia,Israel,,Tokimune,Nico,"Amishav Community Center, Petah Tikva",,052-3029757,Nico1@012.net.il
Ittoukan,,Asia,Japan,Niigata,Kodokai,"
Morihiro Terada",新潟県新潟市東区寺山,,,
Kagoshima Prefecture Branch - Shobukan Dojo,,Asia,Japan,Kagoshima,Tokimune,Morita Hideyo,"2143 Kunigami, Wadomari-cho, Oshima-gun, Kagoshima-ken, Japan.",,0997-92-0481,
Kansai Branch,https://kitami-aikibudo-sp.jimdo.com/%E5%8C%97%E8%A6%8B%E5%90%88%E6%B0%97%E6%AD%A6%E9%81%93%E4%BC%9A%E3%81%AE%E7%B4%B9%E4%BB%8B/,Asia,Japan,?,Kodokai,,,,,
Kasuga dojo,,Asia,Japan,Fukuoka,Kodokai,,"春日中学校 武道場, 春日市須玖南２丁目１７２",,,
Katsushika Branch,,Asia,Japan,Tokyo,Tokimune,Yoshizawa Takaaki,"3F, 2-10-15 Higashi Yotsugi, Tokyo, 124-0014, Japan.",,03-3694-4500,
Kitami AIkibudokai,http://river.civil.kitami-it.ac.jp/~kankyoKIT/aikidaito/top.html   http://kitami-aiki.wixsite.com/kitami-aiki,Asia,Japan,Hokkaido,Kodokai,"
Itō takamichi migi",Kitami shi budokan（In 東陵 Garden）,,090-8429-2292,
Kitami Aikibudokai Sapporo branch,https://kitami-aikibudo-sp.jimdo.com/,Asia,Japan,Hokkaido,Kodokai,"
Tetsuya Tanijima",中島体育センターもしくは白石区体育館、南区体育館,,,
Kitami Industrial University Aikido branch,https://kitami-aikibudo-sp.jimdo.com/%E5%8C%97%E8%A6%8B%E5%90%88%E6%B0%97%E6%AD%A6%E9%81%93%E4%BC%9A%E3%81%AE%E7%B4%B9%E4%BB%8B/,Asia,Japan,Hokkaido,Kodokai,,,,,kitamiaiki.spr@gmail.com
Kodo Hombu,http://hikaridokyusyu.web.fc2.com/index.html,Asia,Japan,Fukuoka,Kodokai,"
Koga Takemitsu",福岡県太宰府市観世音寺５丁目１－４８,,090-3195-3788/ fax:092-922-7771,supper0101ken@yahoo.co.jp
Kodokai Head Hombu,http://www.ne.jp/asahi/daito-ryu/kodokai/index.html,Asia,Japan,Hokkaido,Kodokai,Kenzo Shinba,"26 Chome-2-1 Kita 8 Jōnishi, Chūō-ku, Sapporo-shi, Hokkaidō 060-0008, Japan",,011-621-4703,FB8I-MNB@asahi-net.or.jp
Kodokai Kitami Hombu,http://www.ne.jp/asahi/daito-ryu/kodokai/index.html,Asia,Japan,Hokkaido,Kodokai,Yusuke Inoue,"18-45 Tabatachō, Kitami-shi, Hokkaidō 090-0802, Japan",,0157-25-7341,FB8I-MNB@asahi-net.or.jp
Kodokai Noboribetsu branch,http://www.ne.jp/asahi/daito-ryu/kodokai/index.html,Asia,Japan,Hokkaido,Kodokai,Masato Matsumoto,Noboribetsu-shi Noboribetsuhigashi-chō 301302,,0143-83-2012,FB8I-MNB@asahi-net.or.jp
Kodokai Tokyo branch 1,http://www.ne.jp/asahi/daito-ryu/kodokai/index.html,Asia,Japan,Tokyo,Kodokai,Nomoto Sadamoto,"1F, 3 Chome-10-24 Takada, Toshima-ku, Tōkyō-to 171-0033, Japan",,,FB8I-MNB@asahi-net.or.jp
Kodokai Tokyo branch 2,http://www.geocities.jp/kodokaitokyo/index.html,Asia,Japan,Tokyo,Kodokai,,"〒169-0075 Tōkyō-to, Shinjuku-ku, Takadanobaba, 4 Chome−2",,090-1465-9638,
Koryu dojo in Skopje,http://daito.koryu.mk/,Europe,Macedonia,,Tokimune,Igor Dovezenski,"Hombu Dojo, in the valley below Mount Lipac (62 km from Skopje) and at the Faculty of Natural Sciences and Mathematics at UKIM.",,075 564 011,daito_macedonia@yahoo.com
Kouyukai,http://daito-kouyukai.com/,Asia,Japan,Fukuoka,Kodokai,Kaita Hiromitsu,〒812-0016 福岡県福岡市博多区博多駅南５丁目２−３４,,090-3071-6607,
LA Keikokai,http://roppokai-la.witusa.com/,North America,United States,California,Roppokai,Okamoto Seigo Soshi,,,,
Lake Macquerie Dokokai,,Oceania,Australia,,Takumakai,Lee Mcminn,,,433956140,
"Maryland Daito-ryu Aikijujutsu Study Group, USA",http://www.daito-ryu.org/en/locations.html,North America,United States,Maryland,Tokimune,John Goss,"Aiki Martial Arts Institute, 227-C Gateway Drive, Bel Air, MD 21015, USA.",,410-420-3408,
Melbourne Dokokai,http://aikiaustralia.com.au/,Oceania,Australia,,Takumakai,Zac Mennen,,,408085013,
"Miami Daito-ryu Aikijujutsu Study Group, USA",http://www.daito-ryu.org/en/locations.html,North America,United States,Florida,Tokimune,Juan Ribot,,,,jiribot@gmail.com
"Milano Daito-ryu Aikijujutsu Study Group, Italy",,Europe,Italy,,Tokimune,Paolo Boccaletti,"Via Garian 43/A, 20146, Milano, Italy",,39 334 8689374,
Modesto Study Group,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,,,,,jmdostie@yahoo.com
Moffett Field Study Group,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,,,,,dustin.acuff@gmail.com
Mosca Dojo Russian,http://www.daito-ryu.ru/,Europe,Russia,,Tokimune,Vladimir Vasilyevich Baranov,"Moscow, st. Working, д.29В, ст.м. ""Ploshchad Ilyich"", ""Roman"", the sports club ""Stimul""",,,daitomsk@gmail.com
Muden juku Fukui branch,http://muden.jp/,Asia,Japan,Fukui,Kodokai,Ota,"福井県立武道館, 福井県福井市三ツ屋町8-1-1",,090-3298-9202,
Muden juku Fukui branch,http://muden.jp/,Asia,Japan,Fukui,Kodokai,Ota,南体育館,,090-3298-9201,
Muden juku MIWAKO dojo,http://muden.jp/,Asia,Japan,Hokkaido,Kodokai,Īda Hiroo,"札幌市豊平区福住2条3丁目6-1, 日本メノナイト福住センター1階",,080-6094-6476,
Muden juku Nakajima Sports Centre,http://muden.jp/,Asia,Japan,Hokkaido,Kodokai,Īda Hiroo,地下鉄南北線「幌平橋駅」1番出口より徒歩5分,,011-662-2679,
Muden juku sapporo komachi dojo,http://muden.jp/,Asia,Japan,Hokkaido,Kodokai,Īda Hiroo,"札幌市中央区大通西18丁目2-12, MMビル3階 アベニール",,090-4878-1152,
Muden juku South Sports Centre,http://muden.jp/,Asia,Japan,Hokkaido,Kodokai,Īda Hiroo,日本、〒005-0804 北海道札幌市南区川沿４条２丁目２−１,,011-662-2681,
Muden juku West Sports Centre,http://muden.jp/,Asia,Japan,Hokkaido,Kodokai,Īda Hiroo,日本、〒063-0825 北海道札幌市西区発寒５条８丁目９−１,,011-662-2680,
Mushinkan,https://www.mushinkanjujutsu.com/,North America,United States,New York,Kodokai,,"2258 Seneca St Buffalo, NY 14210",,716-491-1941 ,MushinkanJujutsu@gmail.com
Mushinkan JuJitsu,https://www.mushinkanjujutsu.com/daito-ryu,North America,United States,New York,Kodokai,Marty Brzykcy.,"2258 Seneca St., Buffalo, NY 14220",,(716) 491-1941,
Nagoya Branch,,Asia,Japan,Nagoya,Tokimune,Suzuki Noboru,"3-4-23 Kinjo, Kita-ku, Nagoya, Japan.",,052-911-5883,
Nakano Dojo,http://aiki.jp/nagao/tokyo/t-dojo.html,Asia,Japan,Tokyo,Yamamoto Kakuyoshi ha,Ishikawa Tomohiro,"4 Chome-11-14 Nakano, Tokyo 164-0001, Japan Nakano Gymnasium judo ground",,81 3-3389-3151,
New Jersey and Pennsylvania study group,https://www.daitoryunj.com/,North America,United States,New Jersey,Kodokai,Jimenez Sensei ,,,862-452-5606,daitoryunj@gmail.com
"New Jersey Daito-ryu Aikijujutsu Study Group, USA",http://www.daito-ryu.org/en/locations.html,North America,United States,New Jersey,Tokimune,Fred Bernier,"434 Broadway (20th Street), Bayonne, NJ 07002",,,fbernier@comcast.net
New York—Westchester County and the Lower Hudson Valley,https://daitoryuaikijujutsu.net/study-groups/,North America,United States,New York,Kodokai,,,,,
Nihombashi Branch,daitoryu.ikaduchi.com/english.html,Asia,Japan,Tokyo,Tokimune,Kondo Masayuki,"3-1-15 Nihombashi Tokyo KMC Bldg.3, Chuoh-ku Tokyo 103-0027",,03-3517-2447,
Nihon Gotoh,http://gotoh.com/hikarido/,Asia,Japan,Tokyo,Kodokai,Gotō Takeshi,東京都渋谷区恵比寿4-18-103,,,hikarido@gotoh.com
Nihon-den aikijujutsu Zuihoukan Asaka City Budokan,http://zuihoukan.gozaru.jp/,Asia,Japan,Saitama,Nihon-den aikijūjutsu-kei,Zuihoukan Secretariat,"1 Chome-12-3 Honchō, Asaka-shi, Saitama-ken 351-0011, Japan",,048-464-6006,asakashi_aikidobu@yahoo.co.jp
Nihon-den aikijujutsu Zuihoukan Shiki City Budokan,http://zuihoukan.gozaru.jp/shiki/index.html,Asia,Japan,Saitama,Nihon-den aikijūjutsu-kei,Zuihoukan Secretariat,"3 - chome 6 Kashiwacho, Shiki, Saitama Prefecture 353-0007",,048-464-6007,asakashi_aikidobu@yahoo.co.jp
Nisshinkan dojo in Rome,http://www.nisshinkan.it/index.html,Europe,Italy,,Tokimune,Sandro Marchesano,"Bushido dojo Aikido, via Lippo Vanni, 18, Rome (Casilina area / Giardinetti)",,39 338 22 20 474,info@nisshinkan.it
North American Headquarters dojo San Luis Obispo,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,Hayawo Kiyama,"1166 Higuera St San Luis Obispo, CA 93401",,(805) 534-9012,uskodokai@yahoo.com
NY Metro Area Classes,https://daitoryuaikijujutsu.net/study-groups/,North America,United States,New York,Kodokai,,,,,%20daitoryudc@gmail.com
"NYC Metro Daito-ryu Aikijujutsu Study Group, USA",www.daitoryudojo.com,North America,United States,New Jersey,Tokimune,Jose Garrido,"6900 Park Avenue, Guttenberg, New Jersey 07047",,973-568-6270,Daitoryu2000@aol.com
Obihiro Branch,,Asia,Japan,Hokkaido,Tokimune,Shirota Yoshiharu,"2-2-6 Minami, Nishi Jurokujo, Obihiro, Hokkaido, Japan.",,0155-34-3431,
Osu Sogo Taikukan,http://www.oita-oosukouen.com/sougoutaiikukan/,Asia,Japan,Oita,,Kei Goto,"1 Aobamachi, Oita, Oita Prefecture 870-0908, Japan",,097-551-1511,
